;熔炼物品特效配置文件
传奇神甲(男);153;4053;-1;0;0;0;21;-1;0;0;0;21;3600;33;0;8;154;4073;-1;0;0;0;21;-1;0;0;0;21;4800;33;0;8;155;4093;-1;0;0;0;21;-1;0;0;0;21;6000;33;0;8;
传奇神甲(女);153;4052;-1;0;0;0;21;-1;0;0;0;21;4200;33;0;8;154;4072;-1;0;0;0;21;-1;0;0;0;21;5400;33;0;8;155;4092;-1;0;0;0;21;-1;0;0;0;21;6600;33;0;8;
传奇神剑;159;4049;-1;0;0;0;21;760;8;0;0;29;10800;37;0;8;162;4069;-1;0;0;0;21;770;8;0;0;29;14400;37;0;8;165;4089;-1;0;0;0;21;780;8;0;0;29;18000;37;0;8;
传奇宝扇;160;4050;-1;0;0;0;21;800;10;0;0;29;12000;37;0;8;163;4070;-1;0;0;0;21;810;10;0;0;29;15600;37;0;8;166;4090;-1;0;0;0;21;820;10;0;0;29;19200;37;0;8;
传奇魔杖;161;4051;-1;0;0;0;21;840;10;0;0;29;13200;37;0;8;164;4071;-1;0;0;0;21;850;10;0;0;29;16800;37;0;8;167;4091;-1;0;0;0;21;860;10;0;0;29;20400;37;0;8;
极品传奇神甲(男);153;4053;-1;0;0;0;21;-1;0;0;0;21;3600;33;0;8;154;4073;-1;0;0;0;21;-1;0;0;0;21;4800;33;0;8;155;4093;-1;0;0;0;21;-1;0;0;0;21;6000;33;0;8;
极品传奇神甲(女);153;4052;-1;0;0;0;21;-1;0;0;0;21;4200;33;0;8;154;4072;-1;0;0;0;21;-1;0;0;0;21;5400;33;0;8;155;4092;-1;0;0;0;21;-1;0;0;0;21;6600;33;0;8;
极品传奇神剑;159;4049;-1;0;0;0;21;760;8;0;0;29;10800;37;0;8;162;4069;-1;0;0;0;21;770;0;0;0;29;14400;37;0;8;165;4089;-1;0;0;0;21;780;0;0;0;29;18000;37;0;8;
极品传奇宝扇;160;4050;-1;0;0;0;21;800;10;0;0;29;12000;37;0;8;163;4070;-1;0;0;0;21;810;10;0;0;29;15600;37;0;8;166;4090;-1;0;0;0;21;820;10;0;0;29;19200;37;0;8;
极品传奇魔杖;161;4051;-1;0;0;0;21;840;10;0;0;29;13200;37;0;8;164;4071;-1;0;0;0;21;850;10;0;0;29;16800;37;0;8;167;4091;-1;0;0;0;21;860;10;0;0;29;20400;37;0;8;
顶级传奇神甲(男);153;4053;-1;0;0;0;21;-1;0;0;0;21;3600;33;0;8;154;4073;-1;0;0;0;21;-1;0;0;0;21;4800;33;0;8;155;4093;-1;0;0;0;21;-1;0;0;0;21;6000;33;0;8;
顶级传奇神甲(女);153;4052;-1;0;0;0;21;-1;0;0;0;21;4200;33;0;8;154;4072;-1;0;0;0;21;-1;0;0;0;21;5400;33;0;8;155;4092;-1;0;0;0;21;-1;0;0;0;21;6600;33;0;8;
顶级传奇神剑;159;4049;-1;0;0;0;21;760;8;0;0;29;10800;37;0;8;162;4069;-1;0;0;0;21;770;0;0;0;29;14400;37;0;8;165;4089;-1;0;0;0;21;780;0;0;0;29;18000;37;0;8;
顶级传奇宝扇;160;4050;-1;0;0;0;21;800;10;0;0;29;12000;37;0;8;163;4070;-1;0;0;0;21;810;10;0;0;29;15600;37;0;8;166;4090;-1;0;0;0;21;820;10;0;0;29;19200;37;0;8;
顶级传奇魔杖;161;4051;-1;0;0;0;21;840;10;0;0;29;13200;37;0;8;164;4071;-1;0;0;0;21;850;10;0;0;29;16800;37;0;8;167;4091;-1;0;0;0;21;860;10;0;0;29;20400;37;0;8;
皓月神剑;150;4119;-1;0;0;0;21;880;18;0;0;29;0;37;0;8;153;4139;-1;0;0;0;21;900;18;0;0;29;3600;37;0;8;156;4159;-1;0;0;0;21;920;18;0;0;29;7200;37;0;8;
皓月魔杖;151;4121;-1;0;0;0;21;1020;18;0;0;29;1200;37;0;8;154;4141;-1;0;0;0;21;1040;18;0;0;29;4800;37;0;8;157;4161;-1;0;0;0;21;1060;18;0;0;29;8400;37;0;8;
皓月羽扇;155;4120;-1;0;0;0;21;950;18;0;0;29;2400;37;0;8;155;4140;-1;0;0;0;21;970;18;0;0;29;6000;37;0;8;158;4160;-1;0;0;0;21;990;18;0;0;29;9600;37;0;8;
皓月战甲(男);150;4123;-1;0;0;0;21;1200;10;0;0;29;0;33;1;4;151;4143;-1;0;0;0;21;1230;10;0;1;29;1200;33;0;4;152;4163;-1;0;0;0;21;1260;10;0;0;29;2400;33;1;4;
皓月战甲(女);150;4052;-1;0;0;0;21;1210;10;0;0;29;600;33;1;4;151;4142;-1;0;0;0;21;1240;10;0;1;29;1800;33;0;4;152;4162;-1;0;0;0;21;1270;10;0;0;29;3000;33;1;4;
皓月魔衣(男);150;4123;-1;0;0;0;21;1200;10;0;0;29;0;33;1;4;151;4143;-1;0;0;0;21;1230;10;0;1;29;1200;33;0;4;152;4163;-1;0;0;0;21;1260;10;0;0;29;2400;33;1;4;
皓月魔衣(女);150;4122;-1;0;0;0;21;1210;10;0;0;29;600;33;1;4;151;4142;-1;0;0;0;21;1240;10;0;1;29;1800;33;0;4;152;4162;-1;0;0;0;21;1270;10;0;0;29;3000;33;1;4;
皓月道袍(男);150;4123;-1;0;0;0;21;1200;10;0;0;29;0;33;1;4;151;4143;-1;0;0;0;21;1230;10;0;1;29;1200;33;0;4;152;4163;-1;0;0;0;21;1260;10;0;0;29;2400;33;1;4;
皓月道袍(女);150;4122;-1;0;0;0;21;1210;10;0;0;29;600;33;1;4;151;4142;-1;0;0;0;21;1240;10;0;1;29;1800;33;0;4;152;4162;-1;0;0;0;21;1270;10;0;0;29;3000;33;1;4;
皓天战刃;150;4119;-1;0;0;0;21;880;18;0;0;29;0;37;0;8;153;4139;-1;0;0;0;21;900;18;0;0;29;3600;37;0;8;156;4159;-1;0;0;0;21;920;18;0;0;29;7200;37;0;8;
皓天权杖;151;4121;-1;0;0;0;21;1020;18;0;0;29;1200;37;0;8;154;4141;-1;0;0;0;21;1040;18;0;0;29;4800;37;0;8;157;4161;-1;0;0;0;21;1060;18;0;0;29;8400;37;0;8;
皓天宝扇;155;4120;-1;0;0;0;21;950;18;0;0;29;2400;37;0;8;155;4140;-1;0;0;0;21;970;18;0;0;29;6000;37;0;8;158;4160;-1;0;0;0;21;990;18;0;0;29;9600;37;0;8;
皓天战甲(男);150;4123;-1;0;0;0;21;1200;10;0;0;29;0;33;1;4;151;4143;-1;0;0;0;21;1230;10;0;1;29;1200;33;0;4;152;4163;-1;0;0;0;21;1260;10;0;0;29;2400;33;1;4;
皓天战甲(女);150;4122;-1;0;0;0;21;1210;10;0;0;29;600;33;1;4;151;4142;-1;0;0;0;21;1240;10;0;1;29;1800;33;0;4;152;4162;-1;0;0;0;21;1270;10;0;0;29;3000;33;1;4;
皓天魔衣(男);150;4123;-1;0;0;0;21;1200;10;0;0;29;0;33;1;4;151;4143;-1;0;0;0;21;1230;10;0;1;29;1200;33;0;4;152;4163;-1;0;0;0;21;1260;10;0;0;29;2400;33;1;4;
皓天魔衣(女);150;4122;-1;0;0;0;21;1210;10;0;0;29;600;33;1;4;151;4141;-1;0;0;0;21;1240;10;0;1;29;1800;33;0;4;152;4162;-1;0;0;0;21;1270;10;0;0;29;3000;33;1;4;
皓天道袍(男);150;4123;-1;0;0;0;21;1200;10;0;0;29;0;33;1;4;151;4143;-1;0;0;0;21;1230;10;0;1;29;1200;33;0;4;152;4163;-1;0;0;0;21;1260;10;0;0;29;2400;33;1;4;
皓天道袍(女);150;4122;-1;0;0;0;21;1210;10;0;0;29;600;33;1;4;151;4142;-1;0;0;0;21;1240;10;0;1;29;1800;33;0;4;152;4162;-1;0;0;0;21;1270;10;0;0;29;3000;33;1;4;
皓宇战刃;150;4119;-1;0;0;0;21;880;18;0;0;29;0;37;0;8;153;4139;-1;0;0;0;21;900;18;0;0;29;3600;37;0;8;156;4159;-1;0;0;0;21;920;18;0;0;29;7200;37;0;8;
皓宇权杖;151;4121;-1;0;0;0;21;1020;18;0;0;29;1200;37;0;8;154;4141;-1;0;0;0;21;1040;18;0;0;29;4800;37;0;8;157;4161;-1;0;0;0;21;1060;18;0;0;29;8400;37;0;8;
皓宇宝扇;155;4120;-1;0;0;0;21;950;18;0;0;29;2400;37;0;8;155;4140;-1;0;0;0;21;970;18;0;0;29;6000;37;0;8;158;4160;-1;0;0;0;21;990;18;0;0;29;9600;37;0;8;
皓宇战甲(男);150;4123;-1;0;0;0;21;1200;10;0;0;29;0;33;1;4;151;4143;-1;0;0;0;21;1230;10;0;1;29;1200;33;0;4;152;4163;-1;0;0;0;21;1260;10;0;0;29;2400;33;1;4;
皓宇战甲(女);150;4122;-1;0;0;0;21;1210;10;0;0;29;600;33;1;4;151;4142;-1;0;0;0;21;1240;10;0;1;29;1800;33;0;4;152;4162;-1;0;0;0;21;1270;10;0;0;29;3000;33;1;4;
皓宇魔衣(男);150;4123;-1;0;0;0;21;1200;10;0;0;29;0;33;1;4;151;4143;-1;0;0;0;21;1230;10;0;1;29;1200;33;0;4;152;4163;-1;0;0;0;21;1260;10;0;0;29;2400;33;1;4;
皓宇魔衣(女);150;4142;-1;0;0;0;21;1210;10;0;0;29;600;33;1;4;151;4142;-1;0;0;0;21;1240;10;0;1;29;1800;33;0;4;152;4162;-1;0;0;0;21;1270;10;0;0;29;3000;33;1;4;
皓宇道袍(男);150;4123;-1;0;0;0;21;1200;10;0;0;29;0;33;1;4;151;4143;-1;0;0;0;21;1230;10;0;1;29;1200;33;0;4;152;4163;-1;0;0;0;21;1260;10;0;0;29;2400;33;1;4;
皓宇道袍(女);150;4122;-1;0;0;0;21;1210;10;0;0;29;600;33;1;4;151;4142;-1;0;0;0;21;1240;10;0;1;29;1800;33;0;4;152;4162;-1;0;0;0;21;1270;10;0;0;29;3000;33;1;4;
皓尊战刃;150;4119;-1;0;0;0;21;880;18;0;0;29;0;37;0;8;153;4139;-1;0;0;0;21;900;18;0;0;29;3600;37;0;8;156;4159;-1;0;0;0;21;920;18;0;0;29;7200;37;0;8;
