;物品特效配置文件
飞燕·皓天战刃	65535	0	0	0	8	880	18	0	0	5	0	6	0	8
飞燕·皓天权杖	65535	0	0	0	8	1020	18	0	0	5	1200	6	0	8
飞燕·皓天宝扇	65535	0	0	0	8	950	18	0	0	5	2400	6	0	8
仙鹤·皓天战刃	65535	0	0	0	8	880	18	0	0	5	0	6	0	8
仙鹤·皓天权杖	65535	0	0	0	8	1020	18	0	0	5	1200	6	0	8
仙鹤·皓天宝扇	65535	0	0	0	8	950	18	0	0	5	2400	6	0	8
神雕·皓天战刃	65535	0	0	0	8	880	18	0	0	5	0	6	0	8
神雕·皓天权杖	65535	0	0	0	8	1020	18	0	0	5	1200	6	0	8
神雕·皓天宝扇	65535	0	0	0	8	950	18	0	0	5	2400	6	0	8
朱雀·皓天战刃	65535	0	0	0	8	880	18	0	0	5	0	6	0	8
朱雀·皓天权杖	65535	0	0	0	8	1020	18	0	0	5	1200	6	0	8
朱雀·皓天宝扇	65535	0	0	0	8	950	18	0	0	5	2400	6	0	8
玄武·皓天战刃	65535	0	0	0	8	880	18	0	0	5	0	6	0	8
玄武·皓天权杖	65535	0	0	0	8	1020	18	0	0	5	1200	6	0	8
玄武·皓天宝扇	65535	0	0	0	8	950	18	0	0	5	2400	6	0	8
白虎·皓天战刃	65535	0	0	0	8	880	18	0	0	5	0	6	0	8
白虎·皓天权杖	65535	0	0	0	8	1020	18	0	0	5	1200	6	0	8
白虎·皓天宝扇	65535	0	0	0	8	950	18	0	0	5	2400	6	0	8
青龙·皓天战刃	65535	0	0	0	8	880	18	0	0	5	0	6	0	8
青龙·皓天权杖	65535	0	0	0	8	1020	18	0	0	5	1200	6	0	8
青龙·皓天宝扇	65535	0	0	0	8	950	18	0	0	5	2400	6	0	8
飞燕·神龙战刃	0	0	0	0	8	3820	18	0	0	8	14400	3	0	8
飞燕·神龙权杖	0	0	0	0	8	3860	18	0	0	8	16800	3	0	8
飞燕·神龙宝扇	0	0	0	0	8	3840	18	0	0	8	15600	3	0	8
仙鹤·神龙战刃	0	0	0	0	8	3820	18	0	0	8	14400	3	0	8
仙鹤·神龙权杖	0	0	0	0	8	3860	18	0	0	8	16800	3	0	8
仙鹤·神龙宝扇	0	0	0	0	8	3840	18	0	0	8	15600	3	0	8
神雕·神龙战刃	0	0	0	0	8	3820	18	0	0	8	14400	3	0	8
神雕·神龙权杖	0	0	0	0	8	3860	18	0	0	8	16800	3	0	8
神雕·神龙宝扇	0	0	0	0	8	3840	18	0	0	8	15600	3	0	8
朱雀·神龙战刃	0	0	0	0	8	3820	18	0	0	8	14400	3	0	8
朱雀·神龙权杖	0	0	0	0	8	3860	18	0	0	8	16800	3	0	8
朱雀·神龙宝扇	0	0	0	0	8	3840	18	0	0	8	15600	3	0	8
玄武·神龙战刃	0	0	0	0	8	3820	18	0	0	8	14400	3	0	8
玄武·神龙权杖	0	0	0	0	8	3860	18	0	0	8	16800	3	0	8
玄武·神龙宝扇	0	0	0	0	8	3840	18	0	0	8	15600	3	0	8
白虎·神龙战刃	0	0	0	0	8	3820	18	0	0	8	14400	3	0	8
白虎·神龙权杖	0	0	0	0	8	3860	18	0	0	8	16800	3	0	8
白虎·神龙宝扇	0	0	0	0	8	3840	18	0	0	8	15600	3	0	8
青龙·神龙战刃	0	0	0	0	8	3820	18	0	0	8	14400	3	0	8
青龙·神龙权杖	0	0	0	0	8	3860	18	0	0	8	16800	3	0	8
青龙·神龙宝扇	0	0	0	0	8	3840	18	0	0	8	15600	3	0	8
飞燕·灵蛇战刃	0	0	0	0	0	1350	12	0	0	5	0	7	0	4
飞燕·灵蛇权杖	0	0	0	0	0	1430	10	0	0	5	1200	7	0	4
飞燕·灵蛇宝扇	0	0	0	0	0	1390	12	0	0	5	2400	7	0	4
