;物品特效配置文件
雷霆战甲(男)	65535	0	0	0	25	65535	0	0	0	25	8400	30	0	8	-1	0	0	0	0
雷霆战甲(女)	65535	0	0	0	25	65535	0	0	0	25	9000	30	0	8	-1	0	0	0	0
烈焰魔衣(男)	65535	0	0	0	25	65535	0	0	0	25	9600	30	0	8	-1	0	0	0	0
烈焰魔衣(女)	65535	0	0	0	25	65535	0	0	0	25	10200	30	0	8	-1	0	0	0	0
光芒道袍(男)	65535	0	0	0	25	65535	0	0	0	25	0	30	0	8	-1	0	0	0	0
光芒道袍(女)	65535	0	0	0	25	65535	0	0	0	25	600	30	0	8	-1	0	0	0	0
金牛道剑	65535	0	0	0	25	1403	1	0	0	25	0	31	0	8	-1	0	0	0	0
金牛勋章	640	9	18	15	21	640	9	18	15	21	-1	31	0	8	-1	0	0	0	0
金牛战盔	640	9	15	15	21	620	11	77	-11	21	-1	30	0	8	-1	0	0	0	0
金牛魔盔	640	9	15	15	21	620	11	77	-11	21	-1	30	0	8	-1	0	0	0	0
金牛道盔	640	9	15	15	21	620	11	77	-11	21	-1	30	0	8	-1	0	0	0	0
金牛腰带(战)	640	9	15	15	21	640	9	15	15	21	-1	30	0	8	-1	0	0	0	0
金牛腰带(法)	640	9	15	15	21	640	9	15	15	21	-1	30	0	8	-1	0	0	0	0
金牛腰带(道)	640	9	15	15	21	640	9	15	15	21	-1	30	0	8	-1	0	0	0	0
金牛战靴	640	9	15	15	21	640	9	15	15	21	-1	30	0	8	-1	0	0	0	0
金牛魔靴	640	9	15	15	21	640	9	15	15	21	-1	30	0	8	-1	0	0	0	0
金牛道靴	640	9	15	15	21	640	9	15	15	21	-1	30	0	8	-1	0	0	0	0
金牛项链(战)	640	9	12	16	21	640	9	12	16	21	-1	30	0	8	-1	0	0	0	0
金牛项链(法)	640	9	12	16	21	640	9	12	16	21	-1	30	0	8	-1	0	0	0	0
金牛项链(道)	640	9	12	16	21	640	9	12	16	21	-1	30	0	8	-1	0	0	0	0
金牛护腕(战)	640	9	15	15	21	640	9	15	15	21	-1	30	0	8	-1	0	0	0	0
金牛护腕(法)	640	9	15	15	21	640	9	15	15	21	-1	30	0	8	-1	0	0	0	0
金牛护腕(道)	640	9	15	15	21	640	9	15	15	21	-1	30	0	8	-1	0	0	0	0
金牛战戒	640	9	16	16	21	640	9	16	16	21	-1	30	0	8	-1	0	0	0	0
金牛魔戒	640	9	16	16	21	640	9	16	16	21	-1	30	0	8	-1	0	0	0	0
金牛道戒	640	9	16	16	21	640	9	16	16	21	-1	30	0	8	-1	0	0	0	0
天龙圣衣(男)	65535	0	0	0	25	65535	0	0	0	25	1200	30	0	8	-1	0	0	0	0
天龙圣衣(女)	65535	0	0	0	25	65535	0	0	0	25	1800	30	0	8	-1	0	0	0	0
天龙魔衣(男)	65535	0	0	0	25	65535	0	0	0	25	1200	30	0	8	-1	0	0	0	0
天龙魔衣(女)	65535	0	0	0	25	65535	0	0	0	25	1800	30	0	8	-1	0	0	0	0
天龙道袍(男)	65535	0	0	0	25	65535	0	0	0	25	1200	30	0	8	-1	0	0	0	0
天龙道袍(女)	65535	0	0	0	25	65535	0	0	0	25	1800	30	0	8	-1	0	0	0	0
虎威战盔	65535	0	0	0	25	220	32	69	-16	24	-1	30	0	8	-1	0	0	0	0
虎威项链(战)	65535	0	0	0	25	180	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威勋章(战)	65535	0	0	0	25	340	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威护腕(战)	65535	0	0	0	25	100	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威战戒	65535	0	0	0	25	140	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威腰带(战)	65535	0	0	0	25	300	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威战靴	65535	0	0	0	25	260	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威魔盔	65535	0	0	0	25	220	32	69	-16	24	-1	30	0	8	-1	0	0	0	0
虎威项链(法)	65535	0	0	0	25	180	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威勋章(法)	65535	0	0	0	25	340	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威护腕(法)	65535	0	0	0	25	100	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威魔戒	65535	0	0	0	25	140	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威腰带(法)	65535	0	0	0	25	300	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威魔靴	65535	0	0	0	25	260	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威道盔	65535	0	0	0	25	220	32	69	-16	24	-1	30	0	8	-1	0	0	0	0
虎威项链(道)	65535	0	0	0	25	180	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威勋章(道)	65535	0	0	0	25	340	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威护腕(道)	65535	0	0	0	25	100	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威道戒	65535	0	0	0	25	140	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威腰带(道)	65535	0	0	0	25	300	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
虎威道靴	65535	0	0	0	25	260	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0
倚天	65535	0	0	0	25	1890	10	0	0	25	1200	31	0	8	-1	0	0	0	0
倚天战甲(男)	65535	0	0	0	25	65535	0	0	0	25	2400	31	0	8	-1	0	0	0	0
倚天战甲(女)	65535	0	0	0	25	65535	0	0	0	25	3000	31	0	8	-1	0	0	0	0
倚天魔衣(男)	65535	0	0	0	25	65535	0	0	0	25	2400	31	0	8	-1	0	0	0	0
倚天魔衣(女)	65535	0	0	0	25	65535	0	0	0	25	3000	31	0	8	-1	0	0	0	0
倚天道袍(男)	65535	0	0	0	25	65535	0	0	0	25	2400	31	0	8	-1	0	0	0	0
