;熔炼物品特效配置文件
传奇神甲(男)	209	4053	210	4073	211	4093	153	154	155
传奇神甲(女)	212	4052	213	4072	214	4092	153	154	155
传奇神剑	215	4049	216	4069	217	4089	159	162	165
传奇宝扇	218	4050	219	4070	220	4090	160	163	166
传奇魔杖	221	4051	222	4071	223	4091	161	164	167
极品传奇神甲(男)	209	4053	210	4073	211	4093	153	154	155
极品传奇神甲(女)	212	4052	213	4072	214	4092	153	154	155
极品传奇神剑	215	4049	224	4069	225	4089	159	162	165
极品传奇宝扇	218	4050	219	4070	220	4090	160	163	166
极品传奇魔杖	221	4051	222	4071	223	4091	161	164	167
顶级传奇神甲(男)	209	4053	210	4073	211	4093	153	154	155
顶级传奇神甲(女)	212	4052	213	4072	214	4092	153	154	155
顶级传奇神剑	215	4049	224	4069	225	4089	159	162	165
顶级传奇宝扇	218	4050	219	4070	220	4090	160	163	166
顶级传奇魔杖	221	4051	222	4071	223	4091	161	164	167
皓月神剑	226	4119	227	4139	228	4159	150	153	156
皓月魔杖	229	4121	230	4141	231	4161	151	154	157
皓月羽扇	232	4120	233	4140	234	4160	155	155	158
皓月战甲(男)	235	4123	236	4143	237	4163	150	151	152
皓月战甲(女)	238	4052	239	4142	240	4162	150	151	152
皓月魔衣(男)	235	4123	236	4143	237	4163	150	151	152
皓月魔衣(女)	238	4122	239	4142	240	4162	150	151	152
皓月道袍(男)	235	4123	236	4143	237	4163	150	151	152
皓月道袍(女)	238	4122	239	4142	240	4162	150	151	152
皓天战刃	226	4119	227	4139	228	4159	150	153	156
皓天权杖	229	4121	230	4141	231	4161	151	154	157
皓天宝扇	232	4120	233	4140	234	4160	155	155	158
皓天战甲(男)	235	4123	236	4143	237	4163	150	151	152
皓天战甲(女)	238	4122	239	4142	240	4162	150	151	152
皓天魔衣(男)	235	4123	236	4143	237	4163	150	151	152
皓天魔衣(女)	238	4122	239	4141	240	4162	150	151	152
皓天道袍(男)	235	4123	236	4143	237	4163	150	151	152
皓天道袍(女)	238	4122	239	4142	240	4162	150	151	152
皓宇战刃	226	4119	227	4139	228	4159	150	153	156
皓宇权杖	229	4121	230	4141	231	4161	151	154	157
皓宇宝扇	232	4120	233	4140	234	4160	155	155	158
皓宇战甲(男)	235	4123	236	4143	237	4163	150	151	152
皓宇战甲(女)	238	4122	239	4142	240	4162	150	151	152
皓宇魔衣(男)	235	4123	236	4143	237	4163	150	151	152
皓宇魔衣(女)	238	4142	239	4142	240	4162	150	151	152
皓宇道袍(男)	235	4123	236	4143	237	4163	150	151	152
皓宇道袍(女)	238	4122	239	4142	240	4162	150	151	152
皓尊战刃	226	4119	227	4139	228	4159	150	153	156
皓尊权杖	229	4121	230	4141	231	4161	151	154	157
皓尊宝扇	241	4120	242	4140	243	4160	155	155	158
皓尊战甲(男)	235	4123	236	4143	237	4163	150	151	152
皓尊战甲(女)	238	4122	239	4142	240	4162	150	151	152
皓尊魔衣(男)	235	4123	236	4143	237	4163	150	151	152
皓尊魔衣(女)	238	4122	239	4142	240	4162	150	151	152
皓尊道袍(男)	235	4123	236	4143	237	4163	150	151	152
皓尊道袍(女)	238	4122	239	4142	240	4162	150	151	152
神龙战刃	244	4189	245	4190	246	4191	168	171	174
神龙权杖	244	4192	247	4193	248	4194	169	172	175
神龙宝扇	244	4195	249	4196	250	4197	170	173	176
神龙战甲(男)	251	4198	252	4200	253	4200	156	157	157
神龙战甲(女)	251	4199	254	4201	255	4201	156	157	157
神龙魔衣(男)	251	4198	252	4200	253	4200	156	157	157
神龙魔衣(女)	251	4199	254	4201	255	4201	156	157	157
神龙道袍(男)	251	4198	252	4200	253	4200	156	157	157
神龙道袍(女)	251	4199	254	4201	255	4201	156	157	157
真龙战刃	244	4189	245	4190	246	4191	168	171	174
真龙权杖	244	4192	247	4193	248	4194	169	172	175
真龙宝扇	244	4195	249	4196	250	4197	170	173	176
真龙战甲(男)	251	4198	254	4200	253	4200	156	157	157
真龙战甲(女)	251	4199	254	4201	255	4201	156	157	157
真龙魔衣(男)	251	4198	254	4200	253	4200	156	157	157
真龙魔衣(女)	251	4199	254	4201	255	4201	156	157	157
真龙道袍(男)	251	4198	254	4200	253	4200	156	157	157
真龙道袍(女)	251	4199	254	4201	255	4201	156	157	157
金羊战盔	251	0	254	0	256	5012	0	0	0
金羊法冠	251	0	254	0	256	5012	0	0	0
金羊道盔	251	0	254	0	256	5012	0	0	0
金羊腰带(战)	251	0	254	0	257	5011	0	0	0
金羊腰带(法)	251	0	254	0	257	5011	0	0	0
金羊腰带(道)	251	0	254	0	257	5011	0	0	0
金羊战靴	251	0	254	0	257	5010	0	0	0
金羊魔靴	251	0	254	0	257	5010	0	0	0
金羊道靴	251	0	254	0	257	5010	0	0	0
金羊项链(战)	251	0	254	0	257	5009	0	0	0
金羊项链(法)	251	0	254	0	257	5009	0	0	0
