;物品特效配置文件
0	雷霆战甲(男)	65535	0	0	0	25	65535	0	0	0	25	8400	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
1	雷霆战甲(女)	65535	0	0	0	25	65535	0	0	0	25	9000	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
2	烈焰魔衣(男)	65535	0	0	0	25	65535	0	0	0	25	9600	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
3	烈焰魔衣(女)	65535	0	0	0	25	65535	0	0	0	25	10200	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
4	光芒道袍(男)	65535	0	0	0	25	65535	0	0	0	25	0	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
5	光芒道袍(女)	65535	0	0	0	25	65535	0	0	0	25	600	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
6	金牛道剑	65535	0	0	0	25	1403	1	0	0	25	0	31	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
7	金牛勋章	640	9	18	15	21	640	9	18	15	21	-1	31	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
8	金牛战盔	640	9	15	15	21	620	11	77	-11	21	-1	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
9	金牛腰带(战)	640	9	15	15	21	640	9	15	15	21	-1	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
10	金牛项链(战)	640	9	12	16	21	640	9	12	16	21	-1	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
11	金牛战戒	640	9	16	16	21	640	9	16	16	21	-1	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
12	天龙圣衣(男)	65535	0	0	0	25	65535	0	0	0	25	1200	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
13	天龙圣衣(女)	65535	0	0	0	25	65535	0	0	0	25	1800	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
14	虎威战盔	65535	0	0	0	25	220	32	69	-16	24	-1	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
15	虎威项链(战)	65535	0	0	0	25	180	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
16	虎威勋章(战)	65535	0	0	0	25	340	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
17	虎威护腕(战)	65535	0	0	0	25	100	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
18	虎威战戒	65535	0	0	0	25	140	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
19	虎威腰带(战)	65535	0	0	0	25	300	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
20	虎威战靴	65535	0	0	0	25	260	32	-8	-8	24	-1	30	0	8	-1	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	8	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	150	150
